nappedia_file,bytes,sc_twin_path,code_refs,nappedia_urls,date_added,last_edited
bali_japandi_editorial_v2.jpg,841455,C:/Users/chris/standardcommand/public/assets/illustrations/bali_japandi_editorial_v2.jpg,,,2026-09-02,2026-09-02
bali_japandi_suite.jpg,851808,C:/Users/chris/standardcommand/public/assets/illustrations/bali_japandi_suite.jpg,,,2026-09-02,2026-09-02
bali_japandi_watercolor_master.jpg,802671,C:/Users/chris/standardcommand/public/assets/illustrations/bali_japandi_watercolor_master.jpg,scripts/build_saatva_mockup.py,,2026-09-02,2026-09-02
bali_luxury_craft.jpg,813689,C:/Users/chris/standardcommand/public/assets/illustrations/bali_luxury_craft.jpg,public/index.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/;(mockup) /mockups/modular-clean-home;/modular-clean-home,2026-09-06,2026-09-06
bali_multibrand_pavilion.jpg,892307,C:/Users/chris/standardcommand/public/assets/illustrations/bali_multibrand_pavilion.jpg,public/index.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/;(mockup) /mockups/modular-clean-home;/modular-clean-home,2026-09-02,2026-09-02
bali_pocketed_coils.jpg,920433,C:/Users/chris/standardcommand/public/assets/illustrations/bali_pocketed_coils.jpg,public/index.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/;(mockup) /mockups/modular-clean-home;/modular-clean-home,2026-09-06,2026-09-06
bali_sagging_tolerance.jpg,937151,C:/Users/chris/standardcommand/public/assets/illustrations/bali_sagging_tolerance.jpg,public/index.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/;(mockup) /mockups/modular-clean-home;/modular-clean-home,2026-09-06,2026-09-06
bali_sleep_trial.jpg,865351,C:/Users/chris/standardcommand/public/assets/illustrations/bali_sleep_trial.jpg,public/index.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/;(mockup) /mockups/modular-clean-home;/modular-clean-home,2026-09-06,2026-09-06
beautyrest_bali.jpg,752226,C:/Users/chris/standardcommand/public/assets/creative/bali_gallery/beautyrest_bali.jpg,,,2026-09-06,2026-09-06
brooklyn_bali.jpg,765328,C:/Users/chris/standardcommand/public/assets/creative/bali_gallery/brooklyn_bali.jpg,public/compare.html;public/mockups/compare.html,/compare;(mockup) /mockups/compare,2026-09-06,2026-09-06
casper_bali.jpg,831594,C:/Users/chris/standardcommand/public/assets/creative/bali_gallery/casper_bali.jpg,public/compare.html;public/index.html;public/mockups/compare.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/compare;/;(mockup) /mockups/compare;(mockup) /mockups/modular-clean-home,2026-09-06,2026-09-06
clinical_spinal_biomechanics.jpg,913220,C:/Users/chris/standardcommand/public/assets/illustrations/clinical_spinal_biomechanics.jpg,,,2026-09-06,2026-09-06
contour5_watercolor.jpg,744337,C:/Users/chris/standardcommand/public/assets/illustrations/contour5_watercolor.jpg,app/components/SaatvaBrandHub.tsx;app/data/saatvaIllustrations.ts;app/data/saatvaResearch.ts;public/compare.html;public/mockups/compare.html;public/mockups/saatva-brand-page.html,via app/components/SaatvaBrandHub.tsx;via app/data/researchRecords.ts;/compare;(mockup) /mockups/compare,2026-09-06,2026-09-06
crib_mattress_watercolor.jpg,751305,C:/Users/chris/standardcommand/public/assets/illustrations/crib_mattress_watercolor.jpg,app/components/SaatvaBrandHub.tsx;app/data/saatvaIllustrations.ts;app/data/saatvaResearch.ts;public/mockups/saatva-brand-page.html;public/saatva-brand-page.html;scripts/build_saatva_mockup.py,via app/components/SaatvaBrandHub.tsx;via app/data/researchRecords.ts;(mockup) /mockups/saatva-brand-page;/saatva-brand-page,2026-09-06,2026-09-06
helix_bali.jpg,774799,C:/Users/chris/standardcommand/public/assets/creative/bali_gallery/helix_bali.jpg,public/compare.html;public/index.html;public/mockups/compare.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/compare;/;(mockup) /mockups/compare;(mockup) /mockups/modular-clean-home,2026-09-06,2026-09-06
hydrated_silica_barrier_knit.jpg,946319,C:/Users/chris/standardcommand/public/assets/illustrations/hydrated_silica_barrier_knit.jpg,,,2026-09-06,2026-09-06
loom_and_leaf_watercolor.jpg,744679,C:/Users/chris/standardcommand/public/assets/illustrations/loom_and_leaf_watercolor.jpg,app/components/SaatvaBrandHub.tsx;app/data/saatvaIllustrations.ts;app/data/saatvaResearch.ts;public/mockups/saatva-brand-page.html;public/saatva-brand-page.html;scripts/build_saatva_mockup.py,via app/components/SaatvaBrandHub.tsx;via app/data/researchRecords.ts;(mockup) /mockups/saatva-brand-page;/saatva-brand-page,2026-09-06,2026-09-06
memory_foam_hybrid_watercolor.jpg,793462,C:/Users/chris/standardcommand/public/assets/illustrations/memory_foam_hybrid_watercolor.jpg,app/components/SaatvaBrandHub.tsx;app/data/saatvaIllustrations.ts;app/data/saatvaResearch.ts;public/compare.html;public/mockups/compare.html;public/mockups/saatva-brand-page.html,via app/components/SaatvaBrandHub.tsx;via app/data/researchRecords.ts;/compare;(mockup) /mockups/compare,2026-09-06,2026-09-06
nectar_bali.jpg,752773,C:/Users/chris/standardcommand/public/assets/creative/bali_gallery/nectar_bali.jpg,,,2026-09-06,2026-09-06
purple_bali.jpg,859837,C:/Users/chris/standardcommand/public/assets/creative/bali_gallery/purple_bali.jpg,public/compare.html;public/index.html;public/mockups/compare.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/compare;/;(mockup) /mockups/compare;(mockup) /mockups/modular-clean-home,2026-09-06,2026-09-06
purple_restore_cutaway.jpg,866140,C:/Users/chris/standardcommand/public/assets/illustrations/purple_restore_cutaway.jpg,public/compare.html;public/mockups/compare.html;public/nappedia_quiz_interactive_v2.html;public/preview_nappedia_teardowns.html;public/quiz.html;public/sleep-quiz-v2.html,/compare;(mockup) /mockups/compare;/nappedia_quiz_interactive_v2;/preview_nappedia_teardowns,2026-09-03,2026-09-05
research_replacement_cycle.jpg,878187,C:/Users/chris/standardcommand/public/assets/illustrations/research_replacement_cycle.jpg,public/index.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/;(mockup) /mockups/modular-clean-home;/modular-clean-home,2026-09-06,2026-09-06
research_silica_barrier.jpg,946319,C:/Users/chris/standardcommand/public/assets/illustrations/research_silica_barrier.jpg,public/index.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/;(mockup) /mockups/modular-clean-home;/modular-clean-home,2026-09-06,2026-09-06
research_spinal_alignment.jpg,913220,C:/Users/chris/standardcommand/public/assets/illustrations/research_spinal_alignment.jpg,public/index.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/;(mockup) /mockups/modular-clean-home;/modular-clean-home,2026-09-06,2026-09-06
s_brands_ranked_minimalist.jpg,654595,C:/Users/chris/standardcommand/public/assets/illustrations/s_brands_ranked_minimalist.jpg,,,2026-09-02,2026-09-02
saatva_adjustable_base_watercolor.jpg,771642,C:/Users/chris/standardcommand/public/assets/illustrations/saatva_adjustable_base_watercolor.jpg,app/components/SaatvaBrandHub.tsx;app/data/saatvaIllustrations.ts;public/mockups/saatva-brand-page.html;public/saatva-brand-page.html;scripts/build_saatva_mockup.py;scripts/verify_phase1_assets.cjs,via app/components/SaatvaBrandHub.tsx;(mockup) /mockups/saatva-brand-page;/saatva-brand-page,2026-09-06,2026-09-06
saatva_bali.jpg,753800,C:/Users/chris/standardcommand/public/assets/creative/bali_gallery/saatva_bali.jpg,public/index.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/;(mockup) /mockups/modular-clean-home;/modular-clean-home,2026-09-06,2026-09-06
saatva_bedding_comforter_watercolor.jpg,666936,C:/Users/chris/standardcommand/public/assets/illustrations/saatva_bedding_comforter_watercolor.jpg,app/components/SaatvaBrandHub.tsx;app/data/saatvaIllustrations.ts;public/mockups/saatva-brand-page.html;public/saatva-brand-page.html;scripts/build_saatva_mockup.py;scripts/verify_phase1_assets.cjs,via app/components/SaatvaBrandHub.tsx;(mockup) /mockups/saatva-brand-page;/saatva-brand-page,2026-09-06,2026-09-06
